---------------------------------------------------------------------------------------------
Output for sample-g.txt
---------------------------------------------------------------------------------------------
('total number of words=', 2096932)
('total number of distinct words=', 36767)
('popular_threshold_word=', 1839.0)
('common_threshold_l_word=', 17464.0)
('common_threshold_u_word=', 19303.0)
('rare_threshold_word=', 34928.0)
---------------------------------------------------------------------------------------------

Popular Words
+----+--------------+---------+
|Rank|          Word|Frequency|
| 318|          side|      713|
| 319|          help|      709|
| 320|        looked|      709|
| 321|           nay|      705|
| 322|        called|      700|
| 323|          each|      698|
| 324|    gloucester|      694|
| 325|         given|      689|
| 326|         peace|      689|
| 327|          days|      686|
| 328|          door|      685|
| 329|         means|      685|
| 330|           eye|      684|
| 331|           joe|      682|
| 332|           ill|      681|
| 333|         asked|      680|
| 334|         doubt|      674|
| 335|         whole|      674|
| 336|          mean|      671|
| 337|        sister|      663|
| 338|         grace|      661|
| 339|         light|      657|
| 340|          soul|      653|
| 341|        elinor|      651|
| 342|           new|      647|
| 343|        seemed|      646|
| 344|         forth|      646|
| 345|           die|      645|
| 346|          less|      645|
| 347|       servant|      641|
| 348|       husband|      640|
| 349|         alone|      639|
| 350|        others|      638|
| 351|           bed|      634|
| 352|         state|      634|
| 353|          stay|      634|
| 354|          read|      633|
| 355|        coming|      631|
| 356|        letter|      631|
| 357|           lay|      629|
| 358|       fortune|      626|
| 359|          page|      626|
| 360|       whether|      622|
| 361|        please|      621|
| 362|         henry|      615|
| 363|        nature|      614|
| 364|          want|      612|
| 365|      pleasure|      610|
| 366|          hour|      603|
| 367|         power|      602|
| 368|          felt|      600|
| 369|        return|      599|
| 370|      thousand|      599|
| 371|         voice|      597|
| 372|      falstaff|      593|
| 373|          near|      593|
| 374|          arms|      589|
| 375|         cause|      589|
| 376|         happy|      589|
| 377|      yourself|      586|
| 378|         thine|      585|
| 379|        person|      585|
| 380|          says|      583|
| 381|          turn|      581|
| 382|       worship|      579|
| 383|        tongue|      578|
| 384|       chapter|      576|
| 385|        moment|      576|
| 386|         aside|      575|
| 387|         round|      575|
| 388|         marry|      572|
| 389|      mistress|      570|
| 390|       morning|      567|
| 391|         faith|      565|
| 392|          next|      565|
| 393|        almost|      560|
| 394|            tm|      560|
| 395|          care|      558|
| 396|         makes|      557|
| 397|        france|      556|
| 398|          fool|      554|
| 399|       already|      551|
| 400|           act|      550|
| 401|         known|      550|
| 402|         cried|      549|
| 403|          dost|      547|
| 404|         taken|      547|
| 405|        beauty|      546|
| 406|        course|      546|
| 407|         madam|      546|
| 408|         began|      545|
| 409|    themselves|      544|
| 410|         years|      544|
| 411|         tears|      543|
| 412|      anything|      542|
| 413|          four|      541|
| 414|      business|      540|
| 415|          high|      540|
| 416|         times|      539|
| 417|        edward|      538|
| 418|        either|      538|
| 419|          open|      532|
| 420|         short|      529|
| 421|        caesar|      528|
| 422|         sword|      527|
| 423|          fall|      524|
| 424|         money|      524|
| 425|       neither|      523|
| 426|       looking|      521|
| 427|           ask|      520|
| 428|      returned|      515|
| 429|       richard|      515|
| 430|         among|      514|
| 431|         least|      513|
| 432|         child|      510|
| 433|         lords|      510|
| 434|          lost|      510|
| 435|      answered|      509|
| 436|        antony|      509|
| 437|         senor|      509|
| 438|           few|      505|
| 439|          sent|      504|
| 440|         women|      504|
| 441|        desire|      501|
| 442|          case|      498|
| 443|            ye|      498|
| 444|       strange|      495|
| 445|          also|      493|
| 446|       certain|      493|
| 447|         white|      493|
| 448|        gentle|      492|
| 449|      marianne|      492|
| 450|        fellow|      491|
| 451|          unto|      488|
| 452|          york|      488|
| 453|         until|      487|
| 454|         stood|      486|
| 455|           air|      485|
| 456|          meet|      485|
| 457|         often|      485|
| 458|         point|      485|
| 459|        saying|      484|
| 460|        follow|      484|
| 461|      thoughts|      478|
| 462|       country|      477|
| 463|        seeing|      476|
| 464|           yes|      476|
| 465|       subject|      475|
| 466|        brutus|      474|
| 467|       purpose|      474|
| 468|          talk|      474|
| 469|        making|      472|
| 470|        hamlet|      469|
| 471|       welcome|      468|
| 472|           lie|      467|
| 473|      princess|      463|
| 474|       company|      462|
| 475|         wrong|      462|
| 476|          feel|      461|
| 477|         sleep|      461|
| 478|        itself|      460|
| 479|         above|      459|
| 480|        morrow|      459|
| 481|        ground|      458|
| 482|         horse|      456|
| 483|          news|      455|
| 484|       general|      453|
| 485|          wilt|      452|
| 486|       towards|      451|
| 487|          play|      451|
| 488|          cold|      446|
| 489|      remember|      444|
| 490|         sight|      439|
| 491|           ere|      437|
| 492|         ready|      436|
| 493|          hard|      435|
| 494|       perhaps|      435|
| 495|          free|      434|
| 496|           bad|      432|
| 497|          send|      432|
| 498|          need|      431|
| 499|         black|      430|
