---------------------------------------------------------------------------------------------
Output for s3a://batch-processing-bucket/large-text-file-1.txt
---------------------------------------------------------------------------------------------
('total number of words=', 20180402)
('total number of distinct words=', 61593)
('popular_threshold_word=', 3080.0)
('common_threshold_l_word=', 29256.0)
('common_threshold_u_word=', 32337.0)
('rare_threshold_word=', 58513.0)
---------------------------------------------------------------------------------------------

Popular Words
+----+---------------+---------+
|Rank|           Word|Frequency|
| 548|         number|     3596|
| 549|           kept|     3596|
| 550|       answered|     3592|
| 551|           news|     3572|
| 552|           self|     3532|
| 553|           able|     3524|
| 554|           wind|     3520|
| 555|           send|     3516|
| 556|         street|     3508|
| 557|         really|     3508|
| 558|            arm|     3504|
| 559|           born|     3504|
| 560|         office|     3500|
| 561|           girl|     3500|
| 562|       returned|     3492|
| 563|         morrow|     3480|
| 564|        suppose|     3480|
| 565|           foot|     3476|
| 566|      knowledge|     3472|
| 567|           hair|     3464|
| 568|          false|     3460|
| 569|        service|     3460|
| 570|           used|     3460|
| 571|           late|     3432|
| 572|          shame|     3432|
| 573|        married|     3376|
| 574|            joe|     3364|
| 575|              e|     3364|
| 576|           rome|     3360|
| 577|            ten|     3356|
| 578|         twenty|     3356|
| 579|           deep|     3352|
| 580|      certainly|     3352|
| 581|            sit|     3344|
| 582|           feet|     3340|
| 583|          worth|     3340|
| 584|            cut|     3336|
| 585|          story|     3332|
| 586|          party|     3332|
| 587|         family|     3320|
| 588|      sometimes|     3316|
| 589|        hundred|     3312|
| 590|           wilt|     3304|
| 591|           pass|     3300|
| 592|         wonder|     3292|
| 593|            bid|     3288|
| 594|         french|     3288|
| 595|        warwick|     3288|
| 596|       farewell|     3276|
| 597|           view|     3268|
| 598|         charge|     3264|
| 599|          music|     3256|
| 600|         unless|     3256|
| 601|            met|     3236|
| 602|          mouth|     3232|
| 603|            sat|     3232|
| 604|           past|     3232|
| 605|            mad|     3228|
| 606|           duty|     3228|
| 607|           rich|     3220|
| 608|        greater|     3220|
| 609|     particular|     3216|
| 610|            low|     3204|
| 611|           town|     3204|
| 612|       possible|     3204|
| 613|         honest|     3200|
| 614|     understand|     3172|
| 615|             re|     3168|
| 616|          thank|     3164|
| 617|           emma|     3164|
| 618|      gentlemen|     3160|
| 619|            cry|     3156|
| 620|          bound|     3152|
| 621|          watch|     3144|
| 622|         longer|     3128|
| 623|          break|     3128|
| 624|          hours|     3120|
| 625|          prove|     3120|
| 626|         taking|     3116|
| 627|      messenger|     3116|
| 628|         doctor|     3112|
| 629|           lies|     3112|
| 630|          fight|     3108|
| 631|          looks|     3104|
| 632|        several|     3096|
| 633|          devil|     3092|
| 634|         living|     3092|
| 635|         virtue|     3088|
| 636|          doing|     3084|
